GENE	ALL_0.01%	%ALL_0.01%	ALL_0.1%	%ALL_0.1%	ALL_1%	%ALL_1%	PP2_ALL_0.1%	%PP2_ALL_0.1%	EA_0.1%	%EA_0.1%	EA_1%	%EA_1%	AA_0.1%	%AA_0.1%	AA_1%	%AA_1%	OEratioPercentile	EdgeCase
RD3	0.46	81.06	1.13	92.19	1.26	93.95	1.23	96.03	0.55	81.07	0.7	86.62	0.73	86.12	0.68	85.63	89.60491448	N
RDH10	0.11	67.45	0.39	75.75	0.27	66.93	0.63	87.37	0.49	79.4	0.08	66.94	0.4	75.14	0.1	65.33	#N/A	N
RDH11	0.16	69.92	0.08	60.09	0.13	58.55	0.21	67.55	0.02	56.56	0.31	76.03	0.33	71.95	-0.27	35.97	63.63526861	Y
RDH12	-0.14	46.38	-0.65	16.44	0.16	60.24	-0.45	20	-0.35	30.95	0.08	66.58	-0.19	37.79	-0.22	39.22	81.42616237	N
RDH13	0.02	60.8	-0.04	50.45	-0.28	32.44	0.42	80.1	-0.19	40.45	0.23	72.22	-0.26	33.48	-0.19	41.14	42.79691641	N
RDH16	-0.12	47.71	-0.36	29.16	0.05	53.16	-0.13	38.79	-0.55	21.03	-0.57	18.09	-0.44	24.06	-0.06	52.06	81.81161166	N
RDH5	0.01	59.92	0.08	60.31	0.41	74.33	0.31	75.05	-0.28	35.31	-0.41	27.43	0	50.86	-0.09	49.52	63.40038545	N
RDH8	0.6	84.57	0.69	85.18	-0.09	43.93	0.32	75.22	1.38	94.42	1.56	95.51	0.37	73.75	0.67	85.44	#N/A	N
RDM1	0.4	79.41	0.06	58.74	0.08	55.42	0.01	49.88	0.3	72	0.78	88.15	0.64	83.72	-0.15	44.42	77.42110335	N
RDX	-0.51	20.54	-0.56	19.54	0.57	80.49	-0.38	23.02	-0.48	24	-0.53	20.14	-0.44	24.06	-0.45	24.32	36.63575042	N
REC8	-0.65	14.67	-0.31	32.06	-1	9.53	0.01	50.06	-0.65	17.28	-0.64	15.52	0.1	58.23	-0.18	41.72	75.40953987	N
RECK	-0.67	13.83	-0.95	9.27	-0.46	23.5	-0.47	19.01	-1.14	6.78	-0.66	14.26	-0.55	19.66	-0.61	16.77	40.13490725	N
RECQL	-0.26	36.51	-0.97	8.9	-0.46	23.5	-1.07	6.24	-1.25	5.58	-1.02	6.32	-0.06	46.23	-0.22	38.61	60.31076849	N
RECQL5	-0.55	18.52	0.15	63.68	0.32	70.03	-0.73	11.25	-0.28	34.61	-0.26	36.45	-0.59	18.58	-0.04	54.09	63.73163093	N
REEP1	-0.19	42.14	0.17	65.56	0.29	68.4	0.56	85.57	-0.26	36.72	-0.15	47.68	0.18	63.51	0.18	69.93	15.76728499	Y
REEP2	-0.19	42.14	-0.07	48.12	-0.14	40.22	-0.01	48.28	0.06	58.83	-0.19	43.65	0.02	53.09	-0.15	45.89	32.14285714	Y
REEP3	-0.2	40.89	0.15	64.32	0.11	56.99	-0.03	46.77	-0.39	28.47	-0.24	39.98	0.47	78	0.21	71.22	34.69645868	Y
REEP4	-0.04	56.02	0.02	55.45	0.29	68.57	-0.03	47.18	0.07	59.28	0.1	67.67	0.35	72.77	-0.18	41.72	44.27246447	N
REEP5	0.21	71.78	-0.1	46.49	-0.33	29.65	-0.03	46.77	-0.01	54.49	0.29	75.26	0.07	56.4	-0.12	48.49	34.17248856	Y
REEP6	-0.26	36.41	-0.43	25.15	0.67	83.91	-0.1	41.12	0.06	58.83	-0.19	43.65	-0.5	21.74	-0.33	31.71	98.88581065	Y
REG1A	-0.09	51.36	-0.16	41.25	0.28	67.87	0.1	58.27	-0.02	53.64	0	61.1	-0.12	42.85	-0.24	38.27	11.20814262	Y
REG1B	0.21	71.78	0.39	76.05	0.54	79.49	0.26	71.45	0.16	64.82	0.4	79.08	1.21	93.31	0.44	79.63	80.1493616	N
REG3A	-0.19	42.14	-0.07	48.12	-0.29	31.84	-0.01	48.28	-0.19	41.39	-0.11	51.62	-0.16	39.78	-0.27	35.97	27.62587328	Y
REG3G	0.98	90.72	0.55	81.38	0.67	83.91	0.77	90.66	0.02	56.56	-0.21	41.76	0.68	84.72	0.8	87.96	74.5061431	N
REG4	0.05	63.48	0.88	89.07	0.54	79.23	0.65	88.07	-0.11	46.94	-0.3	34.73	0.88	89	0.62	84.24	60.51553842	N
REL	-0.59	16.71	-0.69	15.12	-1.13	7.74	-0.48	18.72	-0.99	8.77	-0.62	16.23	-0.25	34.57	-0.09	49.52	35.47940255	N
RELA	-0.58	17.32	-0.69	15.12	-1.09	8.23	-0.18	35.31	-0.61	18.5	-0.62	16.23	-0.49	22.27	-0.48	22.63	10.69621778	N
RELB	-0.62	15.69	-1	8.32	-1.21	6.88	-0.52	17.53	-0.65	17.28	-0.64	15.52	-0.74	14.34	-0.48	22.63	31.00457721	N
RELL1	0.22	72.38	0.37	75.12	0.15	59.55	0.27	72.76	0.47	78.73	0.36	77.59	0.28	69.61	-0.3	33.66	44.1700795	N
RELL2	0.75	87.44	0.2	67.19	0.03	51.59	0.21	67.76	0.34	73.83	1.1	92.24	0.29	70.07	0.71	86.28	94.0496266	N
RELN	-1.33	3.51	-2.15	1.46	-2	2.26	-1.05	6.35	-2.71	0.68	-2.46	0.54	-3	0.62	-1.82	1.79	46.06721272	N
RELT	-0.94	7.63	0	54.03	1.1	92.26	-0.02	47.45	1.42	94.77	-0.77	11.38	-0.58	18.98	-0.56	18.71	65.25536015	N
REM1	0.01	59.92	-0.16	41.91	0.41	74.33	0.02	51.26	-0.38	29.05	0.06	64.99	0.23	67.12	0.06	62.42	52.12599374	N
REM2	0.06	64.52	-0.07	48.35	0.29	68.02	0.09	57.11	0.27	70.41	0.23	72.83	0.49	78.77	-0.09	49.52	75.746808	N
REN	-0.15	45.05	-0.4	26.73	-1.19	7.05	-0.45	20	-0.69	15.81	-0.43	25.96	-0.38	27.1	-0.34	30.52	22.27776439	N
RENBP	1.2	93.08	1	90.62	0.29	68.57	-0.03	47.18	0.69	84.94	0.02	61.88	1.41	94.89	1.57	95.43	41.44784389	N
REP15	0.65	85.7	0.19	66.82	0.19	62.24	0	49.5	0.09	60.89	0.36	77.59	0.37	74.12	0.53	82.31	35.0457721	Y
REPIN1	1.17	92.85	0.93	89.79	0.94	89.85	1.08	94.9	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	51.64418212	N
REPS1	-0.45	23.17	-0.13	43.98	-0.29	31.64	-0.8	10.11	-0.12	45.17	-0.26	36.81	0.22	66.02	0.34	76.13	41.09250783	N
REPS2	-0.42	25.38	-0.18	40.16	-0.35	28.77	-0.28	28.4	0.27	70.41	-0.3	34.73	-0.29	31.79	-0.51	21.08	31.68513611	N
RER1	-0.05	55.48	-0.1	46.2	-0.32	30	0.15	62.8	-0.09	48.54	-0.05	57.34	-0.03	48.73	-0.02	56.24	0.813057095	Y
RERE	-2	1.2	-2.63	0.78	-3.92	0.34	-1.55	2.93	-1.7	2.61	-1.78	1.5	-2.29	1.49	-1.73	2.07	14.1411708	N
RERG	-0.15	45.9	-0.27	33.97	-0.17	38.56	0.02	50.88	-0.22	39.02	-0.13	49.82	-0.27	33.32	-0.18	43.38	14.19537461	Y
RERGL	-0.02	57.41	0.28	71.41	0.48	77.1	0.28	73	0.2	67.14	0.19	71.2	0.44	77.01	0.26	73.05	86.70199952	N
RESP18	1.56	95.42	1.55	95.59	1.45	95.64	0.97	93.74	1.33	93.98	1.48	95.05	1.5	95.48	2.17	97.68	98.16911588	N
REST	1.55	95.38	2.07	97.81	0.56	80.09	0.67	88.36	2.48	98.53	2.41	98.15	0.29	69.74	0.44	79.27	47.28980968	N
RET	-0.99	6.84	-1.61	3	-1.79	2.93	-1.04	6.59	-0.98	8.82	-0.51	20.25	-1.8	2.72	-1.35	3.85	27.08383522	N
RETN	0.04	62.93	0.01	54.63	0.5	77.89	0.25	71.16	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	99.51216574	Y
RETNLB	0.76	87.79	0.37	74.95	0.51	78.26	0.71	89.46	0.29	71.41	0.48	81.98	0.81	87.57	0.66	85.18	67.41146712	Y
RETSAT	-0.37	28.33	0.07	59.16	0.23	64.97	0.24	69.88	1.02	90.86	0.57	83.73	-0.23	35.08	-0.65	15.54	53.90267405	N
REV1	-0.46	22.95	0.06	57.55	-1.03	8.99	-1.19	5.21	-0.13	44.99	0.08	65.65	0.34	72.08	-0.69	14.33	36.24427849	N
REV3L	-1.01	6.61	-2.1	1.55	-1.1	8.09	-3.18	0.35	-2.19	1.32	-0.6	16.23	-1.09	7.74	-1.18	5.22	56.55263792	N
REXO1	-1.14	5.11	-1.36	4.54	-0.89	11.32	-1.71	2.26	-0.03	52.36	-0.57	17.2	-1.9	2.38	-1.66	2.32	55.81787521	N
REXO2	-0.19	42.14	-0.07	48.12	0.29	68.4	0.27	72.76	0.06	58.83	-0.19	43.65	-0.21	36.73	-0.3	33.66	61.76824861	Y
REXO4	0.13	68.41	0.38	75.51	0.33	70.7	0.27	71.85	0.14	63.66	0.44	80.21	0.66	84.2	0.31	74.98	48.49433871	N
RFC1	-1.14	5.04	-0.95	9.38	-1.65	3.56	-1.32	4.29	-1.26	5.42	-1.51	2.36	-0.76	13.75	-0.06	52.14	31.85377018	N
RFC2	-0.51	20.54	-0.56	19.54	-0.6	18.74	-0.38	23.02	-0.41	27.28	-0.49	22.26	-0.74	14.34	-0.48	22.63	16.49000241	N
RFC3	-0.35	30.1	-0.56	19.31	-0.15	39.85	-0.2	33.83	-0.52	21.96	-0.32	33.13	-0.26	34.03	-0.33	31.71	51.39725367	N
RFC4	-0.14	46.38	-0.67	15.76	-0.13	40.91	-0.47	19.34	-0.72	14.83	-0.45	24.65	-0.28	32.19	-0.28	34.54	73.41002168	N
RFC5	-0.35	30.1	-0.58	18.44	-0.59	18.89	-0.22	32.69	-0.69	15.81	-0.43	25.96	-0.07	46.14	-0.21	40.71	27.16212961	N
RFESD	0.34	76.98	0.1	61.28	0.32	70.14	0.41	79.62	0.42	76.98	0.57	84.1	-0.07	46.14	0.18	69.93	92.20067454	Y
RFFL	-0.25	37.63	-0.16	41.64	0.28	67.44	-0.08	42.56	0.06	58.83	-0.19	43.65	-0.16	39.78	0.12	66.65	61.68393158	Y
RFK	-0.1	49.88	-0.21	38.28	-0.05	46.23	0.09	56.76	-0.16	43.78	-0.09	53.45	-0.17	38.94	-0.12	48.49	94.79643459	Y
RFPL1	1.56	95.41	1.4	94.7	1	90.88	1.64	97.98	0.31	72.39	1.08	92.06	1.57	95.95	2.13	97.58	61.11178029	N
RFPL2	2.19	97.75	1.35	94.4	1.64	96.78	0.84	92.04	1.59	95.69	1.46	94.93	1.3	94.07	1.79	96.36	71.29607324	N
RFPL3	1.84	96.64	0.69	85.18	0.93	89.76	0.32	75.22	1.94	97.25	1.97	97.06	0.56	81.11	1.56	95.34	69.45916647	N
RFPL4B	0.15	69.36	0.06	58.53	0.67	83.91	-0.1	41.12	-0.04	51.87	0.27	74.39	0.28	69.61	0.47	80.57	90.2613828	Y
RFT1	-0.31	32.42	0.09	60.57	0.11	57.12	0.23	69.22	-0.78	13.28	-0.72	12.54	-0.08	44.23	-0.31	32.45	29.27607805	N
RFTN1	-0.21	39.88	-0.64	16.68	-0.63	17.55	-0.71	11.74	-0.87	11.04	0.04	62.98	-0.7	15.3	-0.32	32.05	19.04360395	N
RFTN2	-0.66	14.11	0.42	77.16	0.27	67.17	0.01	50.06	0.87	88.7	-0.64	15.52	0.31	70.88	-0.75	12.68	91.29727776	N
RFWD2	-0.28	35.17	-0.21	38.58	0.2	62.79	0.17	64.67	0.2	67.14	0.19	71.2	0.13	60.51	-0.24	38.27	49.60852807	Y
RFWD3	0.26	73.75	-0.55	19.86	-0.33	29.85	-0.65	13.35	-0.05	51.18	0.61	84.73	-0.21	36.83	0.07	63.51	39.52059745	N
RFX1	-0.74	11.71	-0.08	47.15	-0.67	16.55	-0.27	28.97	-0.07	49.44	-0.7	12.71	-0.78	13.17	-0.14	46.05	24.28932787	N
RFX2	-0.77	11.06	-0.86	10.89	-0.89	11.39	-0.88	8.81	0.13	62.99	-0.57	17.42	-0.92	10.45	-0.62	16.5	21.13948446	N
RFX3	-0.81	10.23	-0.8	12.46	-1.44	4.87	-0.75	11.05	-0.44	25.8	-0.74	11.96	-1.15	7.08	-0.9	9.1	7.227174175	N
RFX4	-0.47	22.42	-0.4	26.93	-0.48	22.84	-0.24	31.02	-0.29	33.62	0.17	69.79	-0.12	42.21	-0.1	48.89	33.79306191	N
RFX5	0.07	65.04	0.04	57.41	0.03	51.65	-0.09	41.67	-0.4	27.59	0.34	76.35	-0.03	48.91	0.34	76.13	79.82413876	N
RFX6	-0.14	46	0.2	67.43	0.88	88.81	0.24	69.29	-0.57	19.93	-0.83	9.81	0.3	70.15	-0.08	50.99	32.95591424	N
RFX8	2.47	98.36	3	99.21	2.99	99.3	0.87	92.5	1.85	96.9	0.8	88.6	2.76	99.16	3.48	99.32	94.24235124	N
RFXANK	-0.01	58.66	0.31	72.38	-0.21	36.29	-0.28	28.4	-0.25	37.42	0.15	69.59	0.15	61.42	-0.54	19.74	70.6636955	N
RGAG1	0.65	85.72	0.5	79.64	1.23	93.66	-0.28	27.94	0.13	62.99	-0.05	55.6	0.09	57.34	0.85	88.8	63.33413635	N
RGAG4	0.08	65.39	0.44	77.7	1.05	91.53	0.68	88.85	0.3	72	0.25	73.58	0.98	90.56	0.68	85.63	37.76198506	N
RGL1	-0.95	7.41	-1	8.47	-0.97	9.9	-0.32	26.08	-0.88	10.89	-0.79	10.81	-0.75	13.94	-0.58	17.81	12.29824139	N
RGL2	-0.5	20.75	-0.69	15.27	-0.42	25.69	-0.27	28.9	-0.6	18.69	-0.32	32.03	-0.89	10.95	-0.67	14.73	36.94290532	N
RGL3	0.07	64.87	-0.11	45.61	1.19	93.22	0.29	73.5	0.58	81.84	0.53	82.71	-0.09	43.92	-0.17	43.49	76.95735967	N
RGL4	1.96	97.07	2.56	98.74	1.72	97.1	0.67	88.36	1.2	92.88	0.97	90.66	2.51	98.87	1.06	91.36	56.98626837	N
RGMA	-0.45	23.17	-0.64	16.63	-0.88	11.67	0.06	54.62	-0.98	8.94	-0.32	32.03	-0.12	42.21	-0.49	21.68	21.23584678	N
RGMB	-0.35	30.1	-0.07	48.35	0.29	68.02	0.09	57.11	-0.59	19.35	-0.36	30.17	0.48	78.39	0.06	62.42	55.7094676	N
RGN	-0.29	34.06	0.02	55.22	0.01	50.37	0.45	81.29	-0.32	32.45	-0.19	43.65	0.19	64.07	0.03	60.12	91.27920983	Y
RGP1	-0.01	58.66	-0.43	25.37	0.08	55.42	0.01	49.88	0.1	61.42	0.12	68.73	-0.15	40.41	-0.42	25.91	87.03926765	N
RGR	-0.19	41.28	-0.47	23.43	-0.15	39.92	-0.21	32.96	-0.12	45.17	-0.26	36.81	-0.11	43.42	0	57.39	31.21536979	N
RGS1	-0.19	42.14	-0.32	31.46	-0.14	40.22	-0.01	48.28	-0.26	36.72	-0.15	47.68	-0.12	42.85	-0.24	38.27	46.73572633	Y
RGS10	-0.03	56.85	-0.08	47.79	0.01	50.22	0.17	64.34	-0.09	48.54	-0.05	57.34	-0.03	48.73	-0.02	56.24	6.775475789	Y
RGS11	0.07	64.87	1.36	94.45	1.04	91.37	1.44	97.25	0.71	85.29	0.08	65.84	0.76	86.5	0.74	86.88	90.92989641	N
RGS12	-0.09	51.37	-0.46	23.58	-0.41	26.11	-1.26	4.61	0.25	69.08	-1.36	3.02	-0.68	15.71	0.02	58.95	42.00794989	N
RGS13	0.24	72.99	-0.05	49.76	-0.25	33.9	0	49.5	-0.29	34.57	-0.17	45.6	0.04	53.75	0.09	64.59	10.64803662	Y
RGS14	-0.54	19.15	0.35	74.49	0.05	53.16	0.16	63.43	-0.56	20.63	-0.34	31.62	0.22	66.02	-0.04	54.08	73.70513129	N
RGS16	0.61	84.74	0.37	75.12	0.5	78	0.24	70.23	0.85	88.3	0.36	77.59	0.38	74.58	0.38	77.69	87.92459648	N
RGS17	-0.13	47.18	-0.23	36.86	0.16	60.65	0.05	53.89	-0.29	34.57	-0.17	45.6	-0.17	38.94	-0.12	48.49	55.97446398	Y
RGS18	-0.09	51.36	0.33	73.11	0.57	80.73	0.39	78.9	-0.12	46.17	-0.07	55.41	0.36	73.57	-0.08	50.87	73.16911588	Y
RGS19	-0.19	42.14	-0.07	48.12	-0.43	24.73	-0.01	48.28	-0.01	54.49	-0.24	39.98	-0.17	38.94	-0.12	48.49	9.425439653	Y
RGS2	-0.23	38.75	-0.16	41.64	0.75	85.86	-0.08	42.56	0.37	74.91	-0.24	39.98	0.28	69.61	-0.3	33.66	82.35364972	Y
RGS20	-0.28	35.17	-0.21	38.58	0.34	71.05	-0.11	39.74	-0.39	28.47	-0.24	39.98	0.43	76.7	0.03	60.12	87.69573597	Y
RGS21	0.37	78.1	0.15	64.11	0.11	57.36	0.15	62.8	0.29	71.41	0.48	81.98	0.21	65.81	-0.02	56.24	99.46398458	Y
RGS22	-1.04	6.17	1.14	92.37	0.52	78.77	0.53	84.47	-0.51	22.06	-1.27	3.8	0.91	89.37	-0.09	49.57	80.72151289	N
RGS3	1.51	95.09	-0.36	29.17	1.18	93.17	0.04	52.78	-0.25	36.74	0.63	85.01	-0.17	38.05	0.12	65.95	56.38400385	N
RGS4	-0.19	42.14	-0.07	48.12	0.29	68.4	-0.01	48.28	-0.26	36.72	-0.15	47.68	0.22	66.59	-0.18	43.38	88.6473139	Y
RGS5	-0.12	48.6	0.04	56.64	0.2	63.27	0.36	77.52	0.12	62.86	-0.15	47.68	0.26	68.43	0.01	58.77	79.48687063	Y
RGS6	-0.42	25.38	-0.67	15.62	-0.35	28.77	-0.28	28.4	-0.72	14.83	-0.45	24.65	-0.4	26.25	-0.42	25.91	28.29438689	N
RGS7	-0.29	34.06	-0.47	23.04	-0.43	25.1	-0.13	38.52	-0.36	30.26	-0.21	41.76	-0.6	18.44	-0.39	27.64	13.71958564	Y
RGS7BP	0.25	73.63	-0.03	51.4	0.08	55.24	0.02	50.88	0.16	64.82	0.4	79.08	-0.07	46.14	0.18	69.93	15.61069622	Y
RGS8	0.32	76.46	0.3	72.01	0.14	58.97	0.66	88.32	0.16	64.82	0.4	79.08	0.36	73.57	0.69	85.81	16.17682486	Y
RGS9	-0.51	19.96	0.27	70.64	0.13	58.22	-0.29	27.84	-0.54	21.24	-0.28	35.15	0.67	84.49	0.16	68.78	50.8672609	N
RHAG	-0.08	51.94	-0.05	50.22	0.17	61.36	0.21	67.76	-0.41	27.28	0.04	63.43	0.29	70.07	-0.06	52.06	28.40881715	N
RHBDD1	-0.02	57.41	0.77	87.06	0.77	86.32	-0.01	48.61	1.02	90.94	-0.3	34.73	-0.04	47.78	0.11	65.89	43.6099735	N
RHBDD2	-0.46	22.89	-0.49	22.36	-0.91	10.99	-0.33	25.66	-0.31	33.16	-0.43	25.96	-0.54	20.48	-0.51	21.08	8.196820043	N
RHBDD3	-0.55	18.49	-0.16	42.06	-0.13	40.91	-0.16	36.54	-0.1	47.36	0	59.84	-0.33	29.47	0.08	63.86	68.11009395	N
RHBDF1	-1.45	2.85	-0.79	12.6	-0.49	22.29	-0.91	8.3	-1.24	5.7	-1.25	3.97	-1.43	4.57	-1.1	6.08	41.22500602	N
RHBDF2	0.01	59.96	-0.37	28.29	0.29	68.18	0.01	49.89	-0.16	42.61	0.06	64.31	-0.25	34.2	0.02	59.32	48.37990846	N
RHBDL1	-0.35	30.1	-0.09	46.74	-0.44	24.43	-0.2	33.83	-0.15	44.43	-0.32	33.13	-0.06	46.82	-0.36	29.59	21.94049627	N
RHBDL2	0.59	84.31	0.59	82.51	0.61	81.95	0.51	83.79	0.78	87.06	0.84	89.23	0.57	81.68	0.5	81.42	98.43411226	N
RHBDL3	0.11	67.24	-0.25	35.75	-0.32	30.12	-0.15	37.38	-0.18	42.09	0.19	71.2	0.13	60.51	0.15	68.34	27.09588051	N
RHCE	1.01	91.15	1.69	96.38	1.22	93.62	0.33	76.16	0.62	83.13	0.51	82.39	1.85	97.33	1.67	95.89	54.8422067	N
RHCG	-0.34	30.45	-0.44	24.46	0.32	69.96	0.2	66.47	0.14	63.66	-0.09	52.13	-0.85	11.79	-0.64	15.79	39.97229583	N
RHD	2.85	98.93	3.31	99.42	2.03	98.13	0.35	77.05	2.43	98.43	-0.85	9.21	1.58	95.98	3.26	99.2	80.5227656	N
RHEB	0.02	61.78	0.01	54.63	0.17	61.06	0.24	69.83	0.04	58.08	0.04	64.23	0.06	55.51	0.04	61.25	4.209828957	Y
RHEBL1	-0.1	49.88	0.06	58.26	-0.19	37.08	0.37	78.18	-0.09	48.54	-0.05	57.34	0.07	56.4	-0.12	48.49	67.90532402	Y
RHO	-0.72	12.33	-0.89	10.37	-0.33	29.82	-0.34	24.96	-1.16	6.51	-0.72	12.54	-0.57	19.2	-0.69	14.27	41.10455312	N
RHOA	0.01	60.6	-0.01	52.85	-0.16	39.07	0.22	68.47	0.11	62.04	0.08	66.94	-0.08	45.18	-0.05	53.64	0.234883161	Y
RHOB	-0.09	51.36	0.08	59.76	-0.15	39.69	0.1	58.27	0.26	69.87	-0.07	55.41	-0.27	33.32	-0.18	43.38	0.885328836	Y
RHOBTB1	-0.92	7.85	-0.71	14.67	-0.89	11.36	-0.87	8.99	-0.95	9.58	-0.83	9.81	-0.6	18.1	-1.02	7.06	37.2861961	N
RHOBTB2	-1.08	5.79	-0.97	8.9	-0.46	23.5	-0.49	18.44	-0.87	11.04	-1.02	6.32	-0.84	11.97	-0.79	11.45	27.22235606	N
RHOBTB3	0.23	72.66	-0.2	38.98	-0.69	15.87	-0.19	34.15	0.69	84.94	0.55	83.48	-0.53	20.87	0.11	65.89	44.26644182	N
RHOC	-0.13	47.18	-0.25	35.42	-0.27	32.66	0.04	52.37	-0.22	39.02	-0.13	49.82	-0.27	33.32	-0.18	43.38	1.559865093	Y
RHOD	0.21	71.78	0.15	64.32	0.25	66.18	0.55	84.98	0.4	76.21	0.31	76.03	0.13	60.51	-0.24	38.27	64.20139725	Y
RHOF	0.59	84.31	0.35	74.18	0.75	85.86	-0.06	44.03	0.43	77.45	0.34	76.81	0.43	76.7	0.03	60.12	98.86172007	N
RHOG	-0.12	48.6	0.04	56.64	-0.23	34.77	0.07	55.44	0.06	58.83	-0.19	43.65	0.01	52.23	0.01	58.77	3.354613346	Y
RHOH	-0.13	47.18	-0.27	33.97	-0.56	19.57	0.02	50.88	-0.19	41.39	-0.11	51.62	-0.22	36.04	-0.15	45.89	21.44061672	Y
RHOJ	-0.26	36.41	-0.18	39.95	-0.05	45.8	-0.1	41.12	0.02	56.56	-0.21	41.76	-0.69	15.59	-0.45	24.32	84.60009636	Y
RHOQ	-0.09	51.36	-0.16	41.25	-0.3	31.36	0.1	58.27	-0.16	43.78	-0.09	53.45	0.07	56.4	-0.12	48.49	6.185256565	Y
RHOT1	-0.42	25.38	-0.43	25.37	-0.5	22.12	0.01	49.88	-0.66	16.92	-0.41	27.43	-0.35	28.67	-0.39	27.64	78.39677186	N
RHOT2	-0.18	42.65	-1.12	6.61	-0.96	10.06	-1.34	4.03	-0.91	10.22	-0.17	43.7	-0.68	15.71	-0.49	21.73	19.77234401	N
RHOU	-0.13	47.18	-0.23	36.86	0.02	50.77	0.05	53.89	-0.29	34.57	-0.17	45.6	-0.17	38.94	-0.12	48.49	97.66321368	Y
RHOV	0.04	62.93	0.01	54.63	0.07	53.93	0.24	69.83	0.15	63.94	0.1	67.97	-0.03	48.73	-0.02	56.24	1.367140448	Y
RHOXF1	-0.16	44.62	-0.03	51.4	-0.06	45.25	0.02	50.88	0.29	71.41	-0.05	57.34	0.04	53.75	-0.3	33.66	22.71139484	Y
RHPN1	-1.12	5.28	-0.53	20.86	-0.44	24.62	-1.1	5.96	-1.28	5.26	-1.04	6.13	0.19	64.19	-0.38	27.9	41.97783667	N
RHPN2	0.98	90.75	0	54.07	0.41	74.06	0.09	56.13	-0.8	12.7	0.08	65.84	0.74	86.15	0.66	85.28	33.72681282	N
RIBC1	-0.25	37.63	-0.41	26.23	-0.16	39.3	-0.08	42.56	-0.26	36.72	-0.15	47.68	-0.35	28.67	-0.39	27.64	23.72922187	Y
RIC3	0.73	87.13	1.62	96	0.71	84.9	2.2	98.97	2.44	98.46	1.76	96.33	1	90.88	1.14	92.47	51.81281619	N
RIC8A	-0.44	24.01	-0.11	45.49	-0.55	20.39	-0.21	33.18	-0.22	38.03	-0.32	32.03	0.07	55.79	-0.37	28.37	81.68513611	N
RIC8B	-0.48	22.15	-0.27	34.6	-0.22	35.39	0.23	69.1	-0.31	33.16	-0.43	25.96	0.15	61.42	-0.15	44.42	45.37460853	N
RICTOR	-0.61	15.75	-0.28	33.56	-1.33	5.76	-0.6	14.4	0.98	90.29	-0.47	22.39	-1.84	2.57	-0.74	12.87	21.95254156	N
RIF1	-1.08	5.8	-1.81	2.18	-0.71	15.32	-2.49	0.78	-1.04	8.01	-0.64	14.81	-1.93	2.33	-1.09	6.17	28.5352927	N
RIIAD1	0.1	66.58	0.37	74.76	0.37	72.43	0.61	86.88	0.15	63.94	0.1	67.97	0.4	75.14	0.48	80.71	#N/A	N
RILPL1	0.12	68.07	0.02	55.22	-0.28	32.3	0.16	63.19	0.17	65.36	0.17	70.35	0.08	57.16	0.5	81.42	20.80221633	Y
RILPL2	-0.1	49.88	-0.19	39.68	-0.05	46.23	0.09	56.76	-0.02	53.64	0	61.1	-0.12	42.85	-0.24	38.27	13.26186461	Y
RIMBP2	-2.27	0.78	-2.07	1.62	-0.76	14.14	-2.15	1.22	-2.13	1.43	-2.06	0.95	-2.1	1.94	-1.63	2.45	47.31992291	N
RIMKLA	0.11	67.24	-0.25	35.75	-0.47	23.35	-0.15	37.38	-0.15	44.43	0.21	71.91	-0.3	31.21	-0.36	29.59	67.53794266	N
RIMKLB	0.08	65.39	-0.05	50.01	-0.11	42.29	0.11	58.69	-0.52	21.96	-0.32	33.13	-0.11	43.42	0	57.39	7.949891592	N
RIMS1	-0.55	18.52	-1.54	3.32	-1.57	3.98	-1.01	6.98	-1.83	2.19	-1.34	3.21	-1.63	3.43	-0.92	8.65	27.3608769	N
RIMS2	-1.8	1.6	-0.59	18.28	1.01	90.94	-0.16	36.55	0.52	80.19	-1.34	3.3	-0.3	31.23	-1.8	1.9	70.40472175	N
RIMS3	-0.01	58.66	0.06	58.74	0.23	64.87	0.01	49.88	0.17	65.36	-0.36	30.17	-0.63	17.4	-0.18	41.72	42.71259937	N
RIMS4	-0.19	42.14	-0.34	30.07	-0.14	40.22	-0.03	46.77	-0.39	28.47	-0.24	39.98	-0.13	42.03	-0.08	50.87	1.373163093	Y
RIN1	0.1	66.65	0.27	70.69	0.54	79.33	0.04	51.63	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	58.96771862	N
RIN2	-0.48	22.19	0.52	80.4	-0.35	28.89	-0.06	44.46	1.4	94.52	0.38	77.68	0.23	66.75	0.17	69.21	47.94627801	N
RIN3	1.1	92.07	0.17	64.99	1.49	95.92	0.15	62.06	-0.35	30.31	-0.3	33.17	1.22	93.37	1.56	95.37	74.02433149	N
RING1	-0.22	39.8	-0.36	28.63	0.36	71.87	-0.05	45.37	-0.46	24.98	-0.28	36.38	-0.31	30.41	-0.21	40.71	5.685377018	Y
RINL	0.02	61.18	0.35	74.37	0.16	60.76	0.04	52.78	-0.21	39.76	0.17	70.35	0.68	84.72	0.41	78.67	97.06094917	N
RINT1	0	59.55	-0.31	32.15	-0.17	38.33	-0.17	35.47	-0.29	33.62	0.17	69.79	-0.32	29.71	-0.07	51.29	47.42230788	N
